   ,ID,SPNAME,COLLID,OCCUR,CP_CPU_SU,CPU_TIME,ELAPS_TIME,LOCK_LATCH,SQL_STMT_AVG,SQL_STMT_TOTAL,SUSPEND,SYNCIO,TOTAL_SUSPENSIONS_AVG,LOCK_REQUEST_AVG,GETPAGES_AVG,SYNCH_READ_AVG,SELECT_AVG,INSERT_AVG,UPDATE_AVG,DELETE_AVG,   
165,148251,sp165,CORPK140,1,180,0.006609,0.221411,0.000001,12,12,0.21595,0.11332,0,13,512,90,10,1,0,0,   
166,144462,sp166,CORPK009,842,179.06,0.006577,0.014437,0.001702,72.92,61398,0.007783,0.001881,2,43,190,0,53,2,1,0,   
167,146382,sp167,CORPK041,94,178.91,0.006571,0.028617,0.001906,34.15,3210,0.022008,0.01589,0,31,163,4,21,0,0,0,   
168,145456,sp168,CORPK030,12,178.08,0.006542,0.014473,0.000541,25.17,302,0.008191,0.00194,0,43,131,0,7,2,3,0,   
169,146421,sp169,CORPK042,153,176.69,0.006489,0.014149,0.001474,35.59,5445,0.007376,0.002156,1,28,139,0,13,0,0,0,   
170,146614,sp170,CORPK047,21,175.71,0.006457,0.012416,0.002256,38.1,800,0.00592,0.000461,1,43,251,0,24,2,3,0,   
171,145907,sp171,CORPK036,2,174.5,0.006403,0.017466,0.00172,41,82,0.011097,0.006013,2,43,216,1,22,3,2,0,   
172,145603,sp172,CORPK032,11779,171.39,0.006296,0.031453,0.001218,69.21,815240,0.025143,0.02116,1,25,164,3,21,0,0,0,   
173,144725,sp173,CORPK018,4,169.5,0.006225,0.053001,0.001548,29,116,0.04715,0.032341,0,30,186,7,11,2,2,0,   
174,145380,sp174,CORPK025,6,169.17,0.006218,0.009754,0.000815,67,402,0.00355,0.000445,1,31,167,1,20,2,1,0,   
175,146861,sp175,CORPK102,15,167.67,0.006164,0.023673,0.001443,217.93,3269,0.017429,0.009754,1,31,411,1,147,3,0,0,   
176,145431,sp176,CORPK029,242047,166.16,0.006104,0.010489,0.000578,7.01,1696792,0.004212,0.00025,0,11,176,0,3,1,0,0,   
177,146677,sp177,CORPK048,7,165.71,0.006088,0.061775,0.000333,10,70,0.055846,0.046208,0,20,458,12,2,1,0,0,   
